PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000073700 uM,Activity at 0.0000311978 uM,Activity at 0.0000755538 uM,Activity at 0.0001700784 uM,Activity at 0.0003537877 uM,Activity at 0.0007609388 uM,Activity at 0.00133 uM,Activity at 0.00267 uM,Activity at 0.00634 uM,Activity at 0.00855 uM,Activity at 0.017 uM,Activity at 0.041 uM,Activity at 0.071 uM,Activity at 0.179 uM,Activity at 0.354 uM,Activity at 0.663 uM,Activity at 1.576 uM,Activity at 1.933 uM,Activity at 5.110 uM,Activity at 9.286 uM,Activity at 17.35 uM,Activity at 44.46 uM,Activity at 93.38 uM,Activity at 162.7 uM,Compound QC
RESULT_TYPE,,,,,,,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
1,104171104,1935,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00015054-06/118814533,,Inactive,,,,0,,,,,0,0,4,,0,,,,,,6.9422,,0,2.3728,,0,,0.4583,0,,5.8022,9.8216,,0,,0,0,,,QC'd by BIOMOL
2,104171108,16231,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00015089-08/118814053,,Inactive,,,,0,,,,,0,0,4,,0,,,,,,0,,0,0.7879,,1.0771,,0,0,,4.0917,0,,4.9983,,0,0,,,QC'd by BIOMOL
3,104171112,2196,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00015116-10/118813545,,Inactive,,,,0,,-5.3792,4.9549,0.7289,-6.6772,3.5,4,0 0 0 0 0 0 0 0 0 0 0,-8.0643,,,,,,0,,0,8.1447,,5.9503,,0,3.1903,,4.0077,5.3939,,-3.8246,,-5.7716,-8.0643,,,QC'd by BIOMOL
4,104171116,2369,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00015159-06/118813680,,Inactive,,,,0,,-7.3792,4.9549,0.4146,0.8611,5.5,4,0 0 0 0 0 0 0 0 0 0 0,1.8373,,,,,,0,,9.1117,5.5344,,8.2389,,0,0,,2.3051,0,,4.4881,,-0.9491,1.8373,,,QC'd by BIOMOL
5,104171118,2717,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00015191-06/118814625,,Inactive,,,,0,,-5.1792,2.7202,0.8215,-20.6639,2.5,4,0 0 0 0 0 0 0 0 0 0 1,-6.0916,,,,,,0,,-2.7966,0.2285,,8.0815,,2.583,3.7354,,7.3202,1.7166,,-5.5554,,-18.8865,-6.0916,,,QC'd by BIOMOL
6,104171124,6241,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00015208-09/118813662,,Inactive,,,,0,,,,,0,0,4,,3.7495,,,,,,7.2293,,6.3714,5.6135,,0,,7.4829,0,,1.6994,8.4113,,0,,0,3.7495,,,QC'd by BIOMOL
7,104171134,135398737,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00015254-12/118814585,,Inactive,,,,0,,,,,0,0,4,,6.3657,,,,,,7.1953,,7.3079,0,,0,,1.8794,5.9799,,0,7.4799,,0,,0,6.3657,,,QC'd by BIOMOL
8,104171137,2801,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00015264-08/118814210,,Inhibitor,14.818,35.5149,,21,Partial curve; partial efficacy,-4.8292,3.0654,0.9214,-31.0149,4.5,-2.2,0 0 0 0 0 0 0 0 0 0 0,-30.4291,,,,,,5.7772,,8.8781,3.6683,,4.227,,4.7222,8.0186,,4.5719,-4.2187,,3.6532,,-13.8256,-30.4291,,,QC'd by BIOMOL
9,104171138,2803,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00015268-05/118814173,,Inactive,,,,0,,,,,0,0,4,,0,,,,,,5.7817,,5.8939,0,,0,,8.5995,0,,0,6.0744,,0,,6.585,0,,,QC'd by BIOMOL
