PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000457000 uM,Activity at 0.0001972026 uM,Activity at 0.0003839484 uM,Activity at 0.0008898812 uM,Activity at 0.00155 uM,Activity at 0.00213 uM,Activity at 0.00547 uM,Activity at 0.00919 uM,Activity at 0.017 uM,Activity at 0.027 uM,Activity at 0.052 uM,Activity at 0.092 uM,Activity at 0.191 uM,Activity at 0.436 uM,Activity at 0.684 uM,Activity at 1.305 uM,Activity at 2.310 uM,Activity at 4.906 uM,Activity at 10.69 uM,Activity at 15.09 uM,Activity at 33.08 uM,Activity at 57.10 uM,Activity at 112.0 uM,Activity at 226.8 uM,Activity at 254.9 uM,Compound QC
RESULT_TYPE,,,,,,,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
1,376241561,65238,Active,88,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-CANVASS/NCGC00180839-03/222161050,,Inhibitor,0.8771,118.6719,88,Complete curve; high efficacy,-6.0569,1.0693,0.9959,-100.0433,18.6286,-1.1,0 0 0 0 0 0 0 0 0 0 0,-98.8932,,,,,,18.757,15.9045,,21.2912,,9.8808,,2.5383,-24.5492,,-47.9059,,-82.278,,-96.1649,-98.6884,,-98.8932,,,QC'd by CANVASS
2,363677902,5329150,Active,87,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00370874-01/222280715,,Inhibitor,2.2387,119.7688,87,Complete curve; high efficacy,-5.65,1.1762,0.999,-118.5923,1.1765,-1.1,0 0 0 0 0 0,-117.6511,,,,,,,,,0,,,-1.4542,,-12.841,,,-60.4778,,-100.8038,,,-117.6511,,,,QC'd by Tocris
3,363681336,442504,Active,87,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00485432-01/222279545,,Inhibitor,3.1623,123.8943,87,Complete curve; high efficacy,-5.5,1.0693,0.9841,-135.1311,-11.2367,-1.1,0 0 0 0 0 0,-132.4814,,,,,,,,,-13.8628,,,-5.1185,,-35.1337,,,-60.4333,,-106.3143,,,-132.4814,,,,QC'd by SIGMA
4,363676433,92577,Active,86,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00013917-09/222280787,,Inhibitor,1.2589,85.6246,86,Complete curve; high efficacy,-5.9,2.4729,0.9992,-85.3518,0.2728,-1.1,0 0 0 0 0 0,-87.2718,,,,,,,,,0,,,0,,-6.5869,,,-68.9629,,-83.3021,,,-87.2718,,,,QC'd by Glixx
5,363677940,16195554,Active,86,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00370928-02/222279875,,Inhibitor,1.7783,122.2512,86,Complete curve; high efficacy,-5.75,1.1762,0.9944,-99.5345,22.7167,-1.1,0 0 0 0 0 0,-92.6534,,,,,,,,,16.8957,,,23.8426,,1.8579,,,-45.8344,,-87.4067,,,-92.6534,,,,QC'd by Selleck
6,363678051,16747776,Active,86,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00371135-01/222279747,,Inhibitor,1.5849,101.0223,86,Complete curve; high efficacy,-5.8,1.7885,0.9915,-93.7246,7.2977,-1.1,0 0 0 0 0 0,-90.2935,,,,,,,,6.1047,,,13.9591,,-1.1606,,,-28.3502,,-87.3204,,,-90.2935,,,,,QC'd by Arking Pharma
7,363680520,46854655,Active,86,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00386948-01/222281067,,Inhibitor,1.5849,103.6067,86,Complete curve; high efficacy,-5.8,3.99,0.9875,-89.7713,13.8354,-1.1,0 0 0 0 0 0,-89.2975,,,,,,,,,6.7057,,,9.8919,,23.6716,,,-69.5619,,-91.6232,,,-89.2975,,,,QC'd by Axon Medchem
8,363681043,16656440,Active,86,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00402365-02/222281405,,Inhibitor,2.2387,122.9216,86,Complete curve; high efficacy,-5.65,1.0693,0.9913,-95.7896,27.132,-1.1,0 0 0 0 0 0,-92.6713,,,,,,,,,30.6559,,,24.3136,,-0.9704,,,-31.2329,,-77.8318,,,-92.6713,,,,QC'd by Glixx
9,363681191,46871935,Active,86,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00485023-01/222284419,,Inhibitor,1.9953,116.8048,86,Complete curve; high efficacy,-5.7,1.5665,0.9997,-94.8793,21.9254,-1.1,0 0 0 0 0,-93.0099,,,,,,,,,22.3872,,,21.2484,,,,,-44.3179,,-87.8599,,,-93.0099,,,,QC'd by SIGMA
10,363681317,6438389,Active,86,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00485404-01/222280048,,Inhibitor,1.9953,132.9359,86,Complete curve; high efficacy,-5.7,1.2938,0.9958,-104.7812,28.1547,-1.1,0 0 0 0 0 0,-97.9823,,,,,,,,,24.3939,,,29.9933,,8.9219,,,-41.5907,,-93.9901,,,-97.9823,,,,QC'd by SIGMA
