PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,RESPONSE_VALUE_MEKK2MT
RESULT_TYPE,,,,,,,FLOAT
RESULT_DESCR,,,,,,,Percent response of Alexa488-MEK5 binding to MEKK2 Mutant
RESULT_UNIT,,,,,,,PERCENT
RESULT_ATTR_CONC_MICROMOL,,,,,,,10
1,842216,644471,Inactive,13,,,-6
2,842218,644473,Inactive,3,,,4
3,842240,644501,Inactive,0,,,7
4,842242,233401,Inactive,0,,,7
5,842251,644511,Inactive,1,,,6
6,842301,644560,Inactive,11,,,-4
7,842324,644583,Inactive,4,,,3
8,842355,644613,Inactive,16,,,-9
9,842378,644646,Inactive,10,,,-3
10,842463,644728,Inactive,10,,,-3
11,842553,644823,Inactive,6,,,1
12,842595,6603452,Inactive,17,,,-10
13,842705,573774,Inactive,8,,,-1
14,842835,6603111,Inactive,2,,,5
15,842876,645152,Inactive,8,,,-1
16,842895,645167,Inactive,11,,,-4
17,843124,645403,Inactive,8,,,-1
18,843179,645457,Inactive,9,,,16
19,843195,645479,Inactive,13,,,-6
20,843210,645494,Inactive,4,,,3
21,843238,645521,Inactive,10,,,-3
22,843277,645558,Inactive,17,,,-10
23,843346,645637,Inactive,3,,,4
24,843379,645668,Inactive,4,,,3
25,843414,645702,Inactive,6,,,1
26,843420,6602643,Inactive,8,,,-1
27,843524,645816,Inactive,15,,,-8
28,843627,601392,Inactive,10,,,-3
29,843873,646177,Inactive,23,,,-16
30,844064,646374,Inactive,12,,,-5
31,844195,342996,Inactive,11,,,-4
32,844198,646510,Inactive,10,,,-3
33,844202,646514,Inactive,11,,,-4
34,844439,646765,Inactive,8,,,-1
35,844443,646769,Inactive,1,,,6
36,844475,646799,Inactive,3,,,4
37,844583,646910,Inactive,6,,,1
38,844612,646945,Inactive,7,,,0
39,844694,285865,Inactive,3,,,4
40,844791,647123,Inactive,11,,,-4
41,844839,647170,Inactive,8,,,-1
42,844943,647273,Inactive,3,,,10
43,844944,647274,Inactive,6,,,1
44,845149,647483,Inactive,14,,,21
45,845271,647611,Inactive,9,,,-2
46,845304,647647,Inactive,9,,,-2
47,845308,647652,Inactive,16,,,-9
48,845319,647663,Inactive,10,,,-3
49,845402,647744,Inactive,8,,,-1
50,845403,647745,Inactive,5,,,12
51,845406,647748,Inactive,13,,,-6
52,845651,648006,Inactive,8,,,-1
53,845654,648009,Inactive,11,,,-4
54,845995,54689174,Inactive,5,,,12
55,846237,648616,Inactive,7,,,14
56,846265,648651,Inactive,7,,,0
57,846277,648663,Inactive,7,,,0
58,846318,648704,Inactive,10,,,-3
59,846352,648738,Inactive,6,,,13
60,846443,648831,Inactive,31,,,-24
61,846563,648955,Inactive,7,,,0
62,846768,649161,Inactive,3,,,10
63,846850,649246,Inactive,6,,,1
64,846874,649269,Inactive,5,,,2
65,846888,649281,Inactive,7,,,0
66,846911,649304,Inactive,12,,,-5
67,846936,649329,Inactive,2,,,5
68,847038,649433,Inactive,4,,,3
69,847165,649563,Inactive,2,,,9
70,847171,649569,Inactive,12,,,-5
71,847413,6602619,Inactive,6,,,1
72,847562,649967,Inactive,12,,,-5
73,847590,649994,Inactive,5,,,2
74,847593,649997,Inactive,4,,,3
75,847618,650022,Inactive,1,,,8
76,847685,650094,Inactive,8,,,-1
77,847695,650104,Inactive,8,,,-1
78,847842,650255,Inactive,2,,,9
79,847930,650348,Inactive,10,,,-3
80,847985,650403,Inactive,4,,,3
81,847998,6603190,Inactive,5,,,2
82,848008,650433,Inactive,9,,,-2
83,848032,650456,Inactive,6,,,1
84,848045,650469,Inactive,9,,,-2
85,848048,650472,Inactive,1,,,6
86,848066,650490,Inactive,4,,,3
87,848067,650491,Inactive,14,,,-7
88,848095,650519,Inactive,10,,,-3
89,848121,650550,Inactive,9,,,-2
90,848127,650556,Inactive,1,,,6
91,848350,2893244,Inactive,10,,,-3
92,848370,776673,Inactive,17,,,-10
93,848436,650878,Inactive,10,,,-3
94,848657,651109,Inactive,17,,,-10
95,848688,651139,Inactive,5,,,2
96,848757,618107,Inactive,1,,,6
97,848772,651227,Inactive,9,,,-2
98,848849,651313,Inactive,4,,,3
99,848898,135422792,Inactive,2,,,5
100,848975,651442,Inactive,13,,,-6
101,849100,651571,Inactive,6,,,13
102,849242,651720,Inactive,7,,,14
103,849317,651806,Inactive,3,,,4
104,849321,651810,Inactive,4,,,3
105,849393,651880,Inactive,6,,,1
106,849637,652135,Inactive,3,,,10
107,849817,652327,Inactive,6,,,1
108,849865,652374,Inactive,10,,,-3
109,849968,652477,Inactive,6,,,1
110,849981,611222,Inactive,11,,,-4
111,849983,652490,Inactive,11,,,-4
112,850016,652527,Inactive,7,,,0
113,850035,652546,Inactive,3,,,10
114,850201,652712,Inactive,6,,,1
115,850377,6603192,Inactive,9,,,-2
116,850390,652912,Inactive,16,,,-9
117,850425,652946,Inactive,12,,,-5
118,850446,652967,Inactive,4,,,3
119,850592,135449487,Inactive,12,,,-5
120,850606,653138,Inactive,9,,,-2
121,850628,653160,Inactive,10,,,-3
122,850784,653323,Inactive,16,,,-9
123,850947,653491,Inactive,12,,,19
124,850993,653546,Inactive,6,,,13
125,851078,653640,Inactive,2,,,5
126,851170,653731,Inactive,9,,,-2
127,851243,653807,Inactive,2,,,5
128,851254,653818,Inactive,10,,,-3
129,851263,653827,Inactive,3,,,10
130,851342,653913,Inactive,5,,,2
131,851394,653963,Inactive,8,,,15
132,851463,654039,Inactive,7,,,0
133,851488,654064,Inactive,6,,,1
134,851492,654068,Inactive,9,,,-2
135,851532,654107,Inactive,4,,,3
136,851609,654195,Inactive,1,,,6
137,851661,654245,Inactive,3,,,4
138,851722,654315,Inactive,13,,,-6
139,851863,135448997,Inactive,13,,,-6
140,851929,654535,Inactive,3,,,4
141,852112,654716,Inactive,8,,,-1
142,852122,6603667,Inactive,5,,,2
143,852362,654986,Inactive,21,,,28
144,852412,655035,Inactive,12,,,-5
145,852514,655138,Inactive,7,,,0
146,852615,6602552,Active,86,,Activator,93
147,852677,655312,Inactive,7,,,0
148,852726,655367,Inactive,8,,,-1
149,852849,655496,Inactive,1,,,8
150,852854,655501,Inactive,12,,,-5
151,852873,54684103,Inactive,11,,,-4
152,852901,655546,Inactive,1,,,6
153,852919,655563,Inactive,5,,,2
154,852969,655614,Inactive,0,,,7
155,852998,655641,Inactive,3,,,4
156,853050,655691,Inactive,2,,,5
157,853110,655762,Inactive,6,,,1
158,853143,655795,Inactive,8,,,-1
159,853215,655869,Inactive,17,,,-10
160,853248,655901,Inactive,3,,,4
161,853306,6603053,Inactive,4,,,3
162,853345,656002,Inactive,4,,,3
163,853348,5291572,Inactive,10,,,-3
164,853363,856143,Inactive,1,,,8
165,853467,656125,Inactive,1,,,6
166,853701,656360,Inactive,7,,,0
167,855516,3126,Inactive,29,,,36
168,855527,62978,Inactive,20,,,27
169,855541,5281004,Inactive,7,,,0
170,855552,2913535,Inactive,14,,,21
171,855568,66062,Inactive,57,,,64
172,855570,1547484,Inactive,17,,,24
173,855571,3012,Inactive,3,,,4
174,855589,92303,Inactive,16,,,23
175,855614,4539,Inactive,12,,,-5
176,855630,91430,Inactive,5,,,2
177,855647,5405,Inactive,26,,,33
178,855673,66069,Inactive,19,,,26
179,855675,2471,Inactive,13,,,-6
180,855686,3213,Inactive,51,,,58
181,855693,657255,Inactive,44,,,51
182,855700,6365505,Inactive,32,,,39
183,855710,16362,Inactive,59,,,66
184,855736,5074,Inactive,13,,,20
185,855746,2247,Inactive,26,,,33
186,855785,68539,Inactive,5,,,12
187,855801,28693,Inactive,3,,,10
188,855820,62857,Inactive,2,,,5
189,855827,4917,Inactive,17,,,24
190,855880,969516,Inactive,13,,,-6
191,855889,5702162,Inactive,6,,,13
192,855892,5284439,Inactive,21,,,28
193,855907,102484,Inactive,17,,,-10
194,855909,92913,Inactive,13,,,-6
195,855924,5311067,Inactive,4,,,3
196,855926,6240,Inactive,20,,,27
197,855931,5909,Inactive,12,,,-5
198,855937,6603044,Inactive,7,,,14
199,855962,6602611,Inactive,10,,,17
200,855989,5281073,Inactive,0,,,7
201,856006,4748,Inactive,20,,,27
202,856174,657552,Inactive,8,,,-1
203,856175,657553,Inactive,7,,,0
204,856233,657604,Inactive,5,,,2
205,856235,135435891,Inactive,10,,,-3
206,856242,657612,Inactive,5,,,2
207,856267,657645,Inactive,4,,,3
208,856296,2834199,Inactive,23,,,30
209,856323,2837746,Inactive,13,,,-6
210,856350,657717,Inactive,18,,,25
211,856390,657756,Inactive,1,,,6
212,856520,657877,Inactive,2,,,5
213,856584,6602732,Inactive,3,,,4
214,856594,657951,Inactive,8,,,-1
215,856677,658028,Inactive,3,,,10
216,856717,658077,Inactive,13,,,-6
217,856902,658256,Inactive,11,,,-4
218,856954,658314,Inactive,24,,,-17
219,856962,658322,Inactive,3,,,4
220,857130,576494,Inactive,8,,,-1
221,857172,658528,Inactive,4,,,3
222,857186,658540,Inactive,6,,,13
223,857219,658568,Inactive,4,,,3
224,857223,658573,Inactive,3,,,4
225,857245,658591,Inactive,10,,,-3
226,857291,6603620,Inactive,7,,,0
227,857352,135449555,Inactive,8,,,-1
228,857373,658719,Inactive,9,,,-2
229,857436,658787,Inactive,7,,,0
230,857494,658843,Inactive,7,,,14
231,857570,658922,Inactive,20,,,27
232,857605,658953,Inactive,9,,,-2
233,857646,658993,Inactive,11,,,-4
234,857710,659069,Inactive,9,,,16
235,857840,659191,Inactive,6,,,1
236,858015,659363,Inactive,43,,,50
237,858057,659413,Inactive,29,,,-22
238,858263,659605,Inactive,19,,,-12
239,858321,659656,Inactive,3,,,10
240,858462,3794663,Inactive,3,,,4
241,858538,659852,Inactive,35,,,42
242,858703,660011,Inactive,21,,,-14
243,858764,660069,Inactive,13,,,-6
244,858814,660122,Inactive,6,,,1
245,858883,660188,Inactive,0,,,7
246,859068,660372,Inactive,13,,,-6
247,859112,660413,Inactive,6,,,1
248,859199,660504,Inactive,11,,,-4
249,859422,660714,Inactive,4,,,3
250,859431,2948490,Inactive,3,,,10
251,859507,660805,Active,100,,Activator,107
252,859577,660882,Inactive,4,,,3
253,859713,661018,Inactive,46,,,53
254,859734,661038,Inactive,10,,,-3
255,859794,661096,Inactive,11,,,-4
256,859828,2885947,Inactive,4,,,3
257,859847,661155,Inactive,12,,,-5
258,859948,661250,Inactive,22,,,29
259,859964,661266,Inactive,9,,,-2
260,859978,6603627,Inactive,4,,,11
261,860005,661315,Inactive,5,,,2
262,860032,661339,Active,87,,Activator,94
263,860047,661353,Inactive,10,,,-3
264,860050,661356,Inactive,5,,,2
265,860121,661431,Inactive,6,,,1
266,860428,135412495,Inactive,14,,,-7
267,860458,6880181,Inactive,21,,,28
268,860559,5389378,Inactive,0,,,7
269,860707,5389427,Inactive,1,,,8
